ts,open,high,low,close,volume,source,collected_at
2026-05-26T23:54:00+09:00,74.18,74.18,74.075,74.08,3365.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:55:00+09:00,74.08,74.1,74.02,74.02,5638.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:56:00+09:00,74.02,74.02,73.94,74.01,7382.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:57:00+09:00,74.01,74.1099,74.005,74.07,4775.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:58:00+09:00,74.07,74.13,74.07,74.105,4734.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-26T23:59:00+09:00,74.105,74.18,74.105,74.16,3269.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:00:00+09:00,74.16,74.18,74.065,74.13,3393.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:01:00+09:00,74.13,74.15,74.06,74.08,2505.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:02:00+09:00,74.08,74.12,74.04,74.12,1811.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:03:00+09:00,74.12,74.12,73.93,74.02,9114.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:04:00+09:00,74.02,74.025,73.88,73.89,3309.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:05:00+09:00,73.89,73.9699,73.85,73.88,4895.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:06:00+09:00,73.88,73.88,73.83,73.88,3092.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:07:00+09:00,73.853,73.94,73.853,73.94,5917.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:08:00+09:00,73.94,73.98,73.9151,73.975,2031.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:09:00+09:00,73.975,73.98,73.76,73.8899,17279.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:10:00+09:00,73.8899,73.8899,73.68,73.68,3379.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:11:00+09:00,73.68,73.7,73.595,73.595,3815.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:12:00+09:00,73.595,73.6,73.47,73.57,9666.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:13:00+09:00,73.57,73.74,73.57,73.64,3698.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:14:00+09:00,73.64,73.66,73.58,73.65,2831.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:15:00+09:00,73.67,73.67,73.64,73.655,1290.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:16:00+09:00,73.655,73.76,73.6062,73.76,7853.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:17:00+09:00,73.76,73.875,73.76,73.84,6768.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:18:00+09:00,73.84,73.88,73.78,73.78,4213.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:19:00+09:00,73.73,73.75,73.73,73.75,2538.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:20:00+09:00,73.75,73.75,73.63,73.63,2620.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:21:00+09:00,73.63,73.63,73.55,73.6,5238.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:22:00+09:00,73.6,73.6,73.5155,73.5155,4439.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:23:00+09:00,73.5155,73.7,73.45,73.7,7880.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:24:00+09:00,73.7,73.71,73.65,73.66,3292.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:25:00+09:00,73.66,73.66,73.59,73.59,6996.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:26:00+09:00,73.59,73.62,73.59,73.62,4310.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:27:00+09:00,73.62,73.64,73.565,73.565,1779.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:28:00+09:00,73.565,73.57,73.53,73.56,2357.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:29:00+09:00,73.56,73.59,73.545,73.545,1983.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:30:00+09:00,73.545,73.6817,73.545,73.6817,7346.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:31:00+09:00,73.7,73.81,73.7,73.81,3799.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:32:00+09:00,73.79,73.86,73.79,73.86,3227.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:33:00+09:00,73.86,73.9,73.81,73.81,3055.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:34:00+09:00,73.8005,73.86,73.7719,73.84,6431.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:35:00+09:00,73.84,73.8597,73.79,73.81,4122.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:36:00+09:00,73.81,73.81,73.635,73.705,13188.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:37:00+09:00,73.705,73.795,73.705,73.795,2344.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:38:00+09:00,73.795,73.87,73.62,73.64,9403.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:39:00+09:00,73.64,73.785,73.615,73.785,4974.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:40:00+09:00,73.785,73.89,73.72,73.855,10055.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:41:00+09:00,73.855,73.9399,73.855,73.9399,2493.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:42:00+09:00,73.9399,73.995,73.9399,73.96,2120.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:43:00+09:00,73.96,73.96,73.895,73.93,2544.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:44:00+09:00,73.93,73.94,73.865,73.865,3319.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:45:00+09:00,73.865,73.865,73.84,73.84,2126.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:46:00+09:00,73.84,74.04,73.825,73.95,2931.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:47:00+09:00,73.95,74.12,73.95,74.06,2366.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:48:00+09:00,74.06,74.11,74.055,74.09,2453.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:49:00+09:00,74.09,74.1,74.02,74.02,1528.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:50:00+09:00,74.02,74.025,73.98,74.0,1733.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:51:00+09:00,74.0,74.01,73.95,74.01,3634.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:52:00+09:00,74.01,74.05,73.94,73.97,3225.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:53:00+09:00,73.97,73.97,73.92,73.92,1376.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:54:00+09:00,73.92,73.92,73.8,73.87,7334.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:55:00+09:00,73.87,73.93,73.834,73.834,2818.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:56:00+09:00,73.865,73.935,73.865,73.935,1451.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:57:00+09:00,73.935,73.9821,73.935,73.9821,1446.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:58:00+09:00,73.9821,73.9821,73.9,73.95,3518.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T00:59:00+09:00,73.95,73.98,73.95,73.965,3946.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:00:00+09:00,73.965,74.01,73.965,73.965,4289.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:01:00+09:00,73.965,74.12,73.965,74.12,1181.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:02:00+09:00,74.12,74.18,74.1,74.16,4685.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:03:00+09:00,74.16,74.16,74.1,74.13,4314.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:04:00+09:00,74.13,74.275,74.13,74.26,3877.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:05:00+09:00,74.26,74.26,74.235,74.235,2485.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:06:00+09:00,74.235,74.235,74.125,74.125,3069.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:07:00+09:00,74.125,74.15,74.125,74.135,565.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:08:00+09:00,74.135,74.21,74.075,74.11,6726.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:09:00+09:00,74.11,74.14,74.095,74.095,2271.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:10:00+09:00,74.095,74.095,74.0501,74.095,1227.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:11:00+09:00,74.095,74.16,74.05,74.156,8425.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:12:00+09:00,74.1301,74.1301,74.02,74.055,2182.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:13:00+09:00,74.055,74.07,74.055,74.07,902.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:14:00+09:00,74.07,74.07,74.02,74.05,2808.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:15:00+09:00,74.05,74.1687,74.05,74.1687,1272.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:16:00+09:00,74.1687,74.21,74.11,74.21,2699.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:17:00+09:00,74.21,74.235,74.21,74.235,927.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:18:00+09:00,74.22,74.27,74.1904,74.215,5310.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:19:00+09:00,74.215,74.215,74.17,74.2,3807.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:20:00+09:00,74.2,74.2,74.1,74.1113,4461.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:21:00+09:00,74.1113,74.1113,74.035,74.04,2347.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:22:00+09:00,74.04,74.06,74.0264,74.06,3178.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:23:00+09:00,74.06,74.06,74.025,74.06,1285.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:24:00+09:00,74.06,74.06,74.05,74.05,1607.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:25:00+09:00,74.05,74.05,74.03,74.035,1056.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:26:00+09:00,74.045,74.25,74.045,74.22,6397.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:27:00+09:00,74.22,74.28,74.22,74.235,2738.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:28:00+09:00,74.235,74.37,74.235,74.37,2860.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:29:00+09:00,74.37,74.37,74.28,74.31,3029.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:30:00+09:00,74.31,74.4,74.31,74.4,1763.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:31:00+09:00,74.4,74.4,74.2801,74.31,4433.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:32:00+09:00,74.31,74.315,74.245,74.245,2931.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:33:00+09:00,74.245,74.29,74.245,74.29,2701.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:34:00+09:00,74.2801,74.2801,74.2101,74.23,2938.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:35:00+09:00,74.23,74.26,74.225,74.25,1922.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:36:00+09:00,74.25,74.26,74.21,74.25,2444.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:37:00+09:00,74.25,74.25,74.21,74.21,2578.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:38:00+09:00,74.21,74.21,74.195,74.205,2968.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:39:00+09:00,74.205,74.205,74.14,74.14,2036.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:40:00+09:00,74.12,74.12,74.0912,74.0912,1102.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:41:00+09:00,74.105,74.14,74.08,74.14,2104.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:42:00+09:00,74.14,74.145,74.0963,74.14,1062.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:43:00+09:00,74.14,74.18,74.14,74.14,2952.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:44:00+09:00,74.14,74.2699,74.14,74.2699,3896.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:45:00+09:00,74.2699,74.295,74.2699,74.295,1730.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:46:00+09:00,74.295,74.36,74.295,74.33,1739.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:47:00+09:00,74.33,74.38,74.33,74.345,3678.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:48:00+09:00,74.345,74.4,74.315,74.315,2272.0,kis_us_intraday,2026-05-27T02:09:39+09:00
2026-05-27T01:49:00+09:00,74.315,74.335,74.315,74.32,828.0,kis_us_intraday,2026-05-27T02:09:39+09:00
