session_date,ticker,selection_rank,alpha_score,predicted_net_pct,probability,net_return_pct,excess_pct,date,entry_date_5d,exit_date_5d,entry_open_5d,exit_close_5d,gross_usd_5d_pct,gross_krw_5d_pct,net_krw_5d_pct
2025-09-17,RKLB,3,0.9090909090909091,2.2242621214051765,0.6404729267392304,-0.020110391985117104,-2.5539855837519476,2025-09-17,2025-09-18,2025-09-24,48.91999816894531,48.68999862670898,-0.47015443754112596,0.4798896080148829,-0.020110391985117104
2025-09-18,APLD,1,1.0,10.582240566689464,0.744246804286758,14.458774934070007,14.024303425655127,2025-09-18,2025-09-19,2025-09-25,19.88999938964844,22.59000015258789,13.57466488583523,14.958774934070007,14.458774934070007
2025-09-18,CRWV,2,0.9545454545454546,2.343484636365924,0.6767203117733503,4.54185064974616,4.107379141331281,2025-09-18,2025-09-19,2025-09-25,122.0500030517578,126.66000366210938,3.7771409218208873,5.04185064974616,4.54185064974616
2025-09-18,WBD,3,0.9242424242424243,4.033931196857675,0.658176016892232,6.564462513229741,6.129991004814862,2025-09-18,2025-09-19,2025-09-25,18.700000762939453,19.780000686645508,5.775400425899702,7.064462513229741,6.564462513229741
2025-09-19,APLD,1,0.9848484848484849,10.894459103150659,0.7186491659126543,9.03658527615504,8.743893970975574,2025-09-19,2025-09-22,2025-09-26,20.0,21.709999084472656,8.549995422363278,9.53658527615504,9.03658527615504
2025-09-19,NIO,2,0.9848484848484849,8.1725218436906,0.7492175015710427,-4.109426508517155,-4.402117813696622,2025-09-19,2025-09-22,2025-09-26,7.369999885559082,7.039999961853027,-4.477610974630586,-3.609426508517155,-4.109426508517155
2025-09-19,AAPL,3,0.893939393939394,1.5588579065603927,0.6469573154452302,3.318695271743344,3.026003966563877,2025-09-19,2025-09-22,2025-09-26,247.5995237986898,254.73931884765625,2.8836061311537264,3.818695271743344,3.318695271743344
2025-09-22,APLD,1,1.0,7.680892693454744,0.6888163844473834,-10.703907316067419,-10.273391284592835,2025-09-22,2025-09-23,2025-09-29,25.01000022888184,22.149999618530277,-11.435428165445593,-10.203907316067419,-10.703907316067419
2025-09-22,NIO,2,0.9696969696969697,4.145288991803107,0.6870714362083367,5.445760417982426,5.876276449457011,2025-09-22,2025-09-23,2025-09-29,6.900000095367432,7.210000038146973,4.492752731810401,5.945760417982426,5.445760417982426
2025-09-22,CRWV,3,0.9242424242424243,0.7822438519367377,0.5916723657096915,-8.96387649105762,-8.533360459583037,2025-09-22,2025-09-23,2025-09-29,135.7100067138672,122.5199966430664,-9.719261232232324,-8.46387649105762,-8.96387649105762
2025-09-23,APLD,1,1.0,8.423064764027778,0.7232508694578362,-8.061994641467795,-7.549846944532837,2025-09-23,2025-09-24,2025-09-30,24.950000762939453,22.940000534057617,-8.056112895465217,-7.561994641467795,-8.061994641467795
2025-09-23,NIO,2,0.9393939393939394,2.84998165535648,0.5642678240651489,7.705520138869261,8.21766783580422,2025-09-23,2025-09-24,2025-09-30,7.079999923706055,7.619999885559082,7.627118187458426,8.205520138869261,7.705520138869261
2025-09-23,RIVN,3,0.9090909090909092,0.5978363736909724,0.601213389733932,-5.3427318260035985,-4.830584129068641,2025-09-23,2025-09-24,2025-09-30,15.510000228881836,14.68000030517578,-5.351385631577732,-4.8427318260035985,-5.3427318260035985
2025-09-24,APLD,1,1.0,10.572195237371568,0.5606363085899261,11.920581020587985,8.271894028602183,2025-09-24,2025-09-25,2025-10-01,22.229999542236328,25.0,12.460641092235548,12.420581020587985,11.920581020587985
2025-09-24,CRWV,2,0.9393939393939394,3.446890979711752,0.5403938762827311,4.8247642634661085,1.1760772714803074,2025-09-24,2025-09-25,2025-10-01,130.0749969482422,137.0500030517578,5.362295804082184,5.3247642634661085,4.8247642634661085
2025-09-24,RIVN,3,0.8787878787878788,1.0450290081391673,0.5376445669444314,-6.275513754376627,-9.924200746362429,2025-09-24,2025-09-25,2025-10-01,15.5,14.609999656677246,-5.74193769885648,-5.775513754376627,-6.275513754376627
2025-09-25,APLD,1,0.9848484848484849,9.061761153169511,0.6382083198910982,15.597012484514007,11.44203769640473,2025-09-25,2025-09-26,2025-10-02,22.684999465942383,26.46999931335449,16.68503388371083,16.097012484514007,15.597012484514007
2025-09-25,RKLB,2,0.9090909090909092,6.3589043180319775,0.5678728375375767,9.871216195532828,5.716241407423551,2025-09-25,2025-09-26,2025-10-02,47.29999923706055,52.470001220703125,10.930236928189574,10.371216195532828,9.871216195532828
2025-09-25,RIVN,3,0.8939393939393939,1.6139156906614025,0.6561479372208855,-15.35252100193517,-19.507495790044445,2025-09-25,2025-09-26,2025-10-02,15.8100004196167,13.529999732971191,-14.421256332267607,-14.85252100193517,-15.35252100193517
2025-09-26,RIVN,1,0.9090909090909092,1.2333137162955488,0.7062952187845947,-14.022820833684367,-18.35255038016161,2025-09-26,2025-09-29,2025-10-03,15.75,13.649999618530272,-13.33333575536335,-13.522820833684367,-14.022820833684367
2025-09-26,ONDS,2,0.8484848484848485,5.927642940411256,0.5122625889509465,23.72528781199467,19.39555826551743,2025-09-26,2025-09-29,2025-10-03,7.960000038146973,9.90999984741211,24.497484923619183,24.22528781199467,23.72528781199467
2025-09-26,APLD,3,0.8484848484848485,1.8684444157498536,0.5470581284377377,19.499986522045266,15.170256975568025,2025-09-26,2025-09-29,2025-10-03,22.059999465942383,26.530000686645508,20.262925335080784,19.999986522045266,19.499986522045266
2025-09-29,APLD,1,0.9545454545454546,4.147547985548517,0.6146361477533939,23.24787032183694,17.069379233658573,2025-09-29,2025-09-30,2025-10-06,22.5,27.709999084472656,23.155551486545136,23.74787032183694,23.24787032183694
2025-09-29,CRWV,2,0.893939393939394,1.9922970956655017,0.6271595288739711,-1.7600003810577465,-7.93849146923611,2025-09-29,2025-09-30,2025-10-06,136.2100067138672,133.85000610351562,-1.7326191131530888,-1.2600003810577465,-1.7600003810577465
2025-09-29,RIVN,3,0.8939393939393939,0.7816375915274025,0.6864113041693459,-11.549649230817394,-17.728140318995756,2025-09-29,2025-09-30,2025-10-06,15.25,13.5,-11.475409836065575,-11.049649230817394,-11.549649230817394
2025-09-30,CRWV,1,0.9848484848484849,3.33112563616594,0.626725331548211,-5.265984624968878,-9.893376121978497,2025-09-30,2025-10-01,2025-10-07,135.92999267578125,128.8300018310547,-5.223270232686161,-4.765984624968878,-5.265984624968878
2025-09-30,STLA,2,0.8484848484848485,0.23606273078079484,0.6089086692756597,14.991003508387124,10.363612011377505,2025-09-30,2025-10-01,2025-10-07,9.4399995803833,10.850000381469728,14.936449827990096,15.491003508387124,14.991003508387124
2025-09-30,META,3,0.8181818181818182,0.36869314582893803,0.5603458515073151,-1.1887769409200772,-5.816168437929695,2025-09-30,2025-10-01,2025-10-07,719.618385039583,711.230224609375,-1.1656400954440094,-0.6887769409200772,-1.1887769409200772
2025-10-01,ONDS,1,0.9848484848484849,5.481009625810441,0.6568930313279396,45.171964722219194,41.49807626354979,2025-10-01,2025-10-02,2025-10-08,7.800000190734863,11.260000228881836,44.35897376331981,45.671964722219194,45.171964722219194
2025-10-01,CRWV,2,0.9545454545454546,8.344619877940488,0.5590041131796389,0.03605585981117976,-3.637832598858221,2025-10-01,2025-10-02,2025-10-08,140.5,139.97999572753906,-0.37010980246330316,0.5360558598111798,0.03605585981117976
2025-10-01,APLD,3,0.9242424242424243,2.2859923063525063,0.6040283124622899,6.498570594833398,2.8246821361639967,2025-10-01,2025-10-02,2025-10-08,26.350000381469727,27.940000534057617,6.034156089447484,6.998570594833398,6.498570594833398
2025-10-02,CRWV,1,0.96875,7.434467255253803,0.5706731625468989,3.6721205183326227,1.28111406046966,2025-10-02,2025-10-03,2025-10-09,139.0,143.0800018310547,2.9352531158666872,4.172120518332623,3.6721205183326227
2025-10-02,RIVN,2,0.828125,0.7614438721487392,0.5322949813065552,-2.5533113674398584,-4.9443178253028215,2025-10-02,2025-10-03,2025-10-09,13.524999618530272,13.09000015258789,-3.216262315796292,-2.0533113674398584,-2.5533113674398584
2025-10-02,PLTR,3,0.828125,0.4859628304360908,0.569179305228907,0.19667930179444504,-2.1943271560685176,2025-10-02,2025-10-03,2025-10-09,186.3999938964844,185.47000122070312,-0.4989231256615545,0.696679301794445,0.19667930179444504
2025-10-03,CRWV,1,0.9545454545454546,7.438331540774336,0.5526748051921877,1.3937541233084554,4.978815743422142,2025-10-03,2025-10-06,2025-10-10,137.35000610351562,138.42999267578125,0.7863025295038462,1.8937541233084554,1.3937541233084554
2025-10-03,ONDS,2,0.9242424242424243,1.616663341664674,0.682917388264587,-12.230015814027494,-8.644954193913808,2025-10-03,2025-10-06,2025-10-10,10.5600004196167,9.220000267028809,-12.689394880123771,-11.730015814027494,-12.230015814027494
2025-10-03,RKLB,3,0.9090909090909092,1.6436107192773164,0.5654366190450738,13.74619112443455,17.331252744548237,2025-10-03,2025-10-06,2025-10-10,56.8650016784668,64.26000213623047,13.004484726084087,14.24619112443455,13.74619112443455
2025-10-06,AMD,1,1.0,5.19481183049377,0.6180654626322634,1.5960380293096215,2.9193309830156586,2025-10-06,2025-10-07,2025-10-13,214.8500061035156,216.4199981689453,0.7307386645701408,2.0960380293096215,1.5960380293096215
2025-10-06,VG,2,0.8970588235294117,1.5361029854118027,0.6015361299628345,-34.1048691987616,-32.78157624505556,2025-10-06,2025-10-07,2025-10-13,13.724031289818456,8.990235328674316,-34.49275115436406,-33.6048691987616,-34.1048691987616
2025-10-06,CRWV,3,0.8823529411764706,4.133476097386266,0.5481778623225371,4.923603021495826,6.246895975201864,2025-10-06,2025-10-07,2025-10-13,136.15499877929688,141.6199951171875,4.013805138913207,5.423603021495826,4.923603021495826
2025-10-07,AMD,1,0.9673913043478262,5.45673606944817,0.6283135429713189,2.7463025197585704,3.474390607350477,2025-10-07,2025-10-08,2025-10-14,212.9499969482422,218.08999633789065,2.413711886973058,3.2463025197585704,2.7463025197585704
2025-10-07,MARA,2,0.9130434782608696,5.953085054596218,0.5607910892556245,9.29825540132724,10.026343488919146,2025-10-07,2025-10-08,2025-10-14,20.420000076293945,22.239999771118164,8.912829030481252,9.79825540132724,9.29825540132724
2025-10-07,VG,3,0.9021739130434783,1.5003164217770966,0.6399010068216225,-30.598861584818337,-29.87077349722643,2025-10-07,2025-10-08,2025-10-14,12.908545131377632,8.950455665588379,-30.662552793560526,-30.098861584818337,-30.598861584818337
