month,gross_return,net_return,turnover,invested,weight_SPY,strategy,market,weight_QQQ,weight_069500.KS,weight_229200.KS
2015-10-01,0.035720104502892536,0.035720104502892536,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2015-11-01,0.016836860583777202,0.016836860583777202,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2015-12-01,0.00025537601374026053,0.00025537601374026053,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2016-01-01,-0.025380741590101952,-0.025380741590101952,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2016-02-01,0.02859455784663978,0.02859455784663978,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2016-03-01,-0.019499590788995547,-0.019499590788995547,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2016-04-01,-0.0015440044263824726,-0.0015440044263824726,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2016-05-01,0.07481268374243588,0.07481268374243588,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2016-06-01,-0.035291620687079805,-0.035291620687079805,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2016-07-01,0.010562839087052467,0.010562839087052467,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2016-08-01,-0.0032322374986457625,-0.0032322374986457625,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2016-09-01,-0.014928745252883124,-0.014928745252883124,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2016-10-01,0.022875028196151836,0.022875028196151836,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2016-11-01,0.055971215953363185,0.055971215953363185,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2016-12-01,0.05297168507406469,0.05297168507406469,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2017-01-01,-0.01257578831408912,-0.01257578831408912,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2017-02-01,0.007940595015854424,0.007940595015854424,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2017-03-01,-0.013690015826014146,-0.013690015826014146,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2017-04-01,0.021607541343555914,0.021607541343555914,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2017-05-01,0.008691774100256122,0.008691774100256122,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2017-06-01,0.026289543975970275,0.026289543975970275,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2017-07-01,0.0008846323814384327,0.0008846323814384327,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2017-08-01,0.002275237829268306,0.002275237829268306,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2017-09-01,0.04068245610603283,0.04068245610603283,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2017-10-01,0.003475729595324051,0.003475729595324051,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2017-11-01,-0.008686001575948343,-0.008686001575948343,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2017-12-01,0.0016664343655581337,0.0016664343655581337,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2018-01-01,0.059371387003883225,0.059371387003883225,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2018-02-01,-0.030205902226398296,-0.030205902226398296,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2018-03-01,-0.04307990996097677,-0.04307990996097677,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2018-04-01,0.010468516152525087,0.010468516152525087,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2018-05-01,0.03143817396916759,0.03143817396916759,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2018-06-01,0.04832792697424915,0.04832792697424915,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2018-07-01,0.03346466435586826,0.03346466435586826,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2018-08-01,0.030792764698971187,0.030792764698971187,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2018-09-01,0.00311350346690098,0.00311350346690098,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2018-10-01,-0.04785518561732327,-0.04785518561732327,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2018-11-01,3.5188790823426075e-05,3.5188790823426075e-05,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2018-12-01,-0.08863634949353139,-0.08863634949353139,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2019-01-01,0.07300239950169685,0.07300239950169685,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2019-02-01,0.038094682904105115,0.038094682904105115,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2019-03-01,0.035648578051789226,0.035648578051789226,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2019-04-01,0.06330604934807393,0.06330604934807393,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2019-05-01,-0.039864154410884645,-0.039864154410884645,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2019-06-01,0.040002230644155645,0.040002230644155645,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2019-07-01,0.0372048548259436,0.0372048548259436,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2019-08-01,0.005334563211665255,0.005334563211665255,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2019-09-01,0.015024279696505438,0.015024279696505438,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2019-10-01,-0.010389190507371082,-0.010389190507371082,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2019-11-01,0.04804987630990243,0.04804987630990243,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2019-12-01,0.010992390184911827,0.010992390184911827,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2020-01-01,0.02619484335259914,0.02619484335259914,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2020-02-01,-0.060401419347000274,-0.060401419347000274,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2020-03-01,-0.11664257396755007,-0.11664257396755007,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2020-04-01,0.11600572160762179,0.11600572160762179,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2020-05-01,0.07117156285230797,0.07117156285230797,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2020-06-01,-0.014729937625611922,-0.014729937625611922,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
2020-07-01,0.05100225308815354,0.05100225308815354,0.0,1.0,1.0,US_SPY_BUY_HOLD,US,,,
