month,gross_return,net_return,turnover,weight_SCHG,weight_BIL,strategy
2016-07-01,0.02368834813349663,0.02368834813349663,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2016-08-01,-0.0017134816848184409,-0.0017134816848184409,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2016-09-01,-0.009025812337543626,-0.009025812337543626,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2016-10-01,0.01427944606750109,0.01427944606750109,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2016-11-01,0.04671172260025225,0.04671172260025225,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2016-12-01,0.04087241837480171,0.04087241837480171,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2017-01-01,0.00429443370947058,0.00429443370947058,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2017-02-01,0.010440099871258157,0.010440099871258157,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2017-03-01,-0.008450469174141606,-0.008450469174141606,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2017-04-01,0.03431333633493816,0.03431333633493816,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2017-05-01,0.017815853417370242,0.017815853417370242,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2017-06-01,0.021448794627169532,0.021448794627169532,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2017-07-01,0.00695175677058435,0.00695175677058435,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2017-08-01,0.00967772359800323,0.00967772359800323,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2017-09-01,0.03142104654554845,0.03142104654554845,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2017-10-01,0.01005093787929412,0.01005093787929412,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2017-11-01,-0.008694655579292054,-0.008694655579292054,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2017-12-01,0.0001159087351194632,0.0001159087351194632,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2018-01-01,0.07461570102961468,0.07461570102961468,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2018-02-01,-0.021903948797424855,-0.021903948797424855,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2018-03-01,-0.039983768019797084,-0.039983768019797084,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2018-04-01,0.01144130852682812,0.01144130852682812,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2018-05-01,0.0467355658388906,0.0467355658388906,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2018-06-01,0.05552486011806579,0.05552486011806579,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2018-07-01,0.022715473230778827,0.022715473230778827,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2018-08-01,0.04938586261169253,0.04938586261169253,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2018-09-01,0.0030672850385700112,0.0030672850385700112,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2018-10-01,-0.06384330430312424,-0.06384330430312424,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2018-11-01,-0.016351577222483926,-0.021351577222483927,2.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2018-12-01,0.0011818796143874266,0.0011818796143874266,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2019-01-01,-0.004801378003845169,-0.004801378003845169,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2019-02-01,0.0073587950226923216,0.0073587950226923216,0.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2019-03-01,0.04356122802440532,0.03856122802440532,2.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2019-04-01,0.06800188134426821,0.06800188134426821,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2019-05-01,-0.0376966351261232,-0.0376966351261232,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2019-06-01,-0.025894544922609453,-0.030894544922609454,2.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2019-07-01,0.04103502075226584,0.03603502075226584,2.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2019-08-01,0.012685296218491349,0.012685296218491349,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2019-09-01,-0.00139552904850615,-0.00139552904850615,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2019-10-01,-0.0009043992782290511,-0.0009043992782290511,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2019-11-01,0.05728968733472839,0.05728968733472839,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2019-12-01,0.009466098972907844,0.009466098972907844,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2020-01-01,0.055227893671514705,0.055227893671514705,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2020-02-01,-0.04661534218405916,-0.04661534218405916,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2020-03-01,-0.09697615960487382,-0.09697615960487382,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2020-04-01,-0.009935173026973554,-0.014935173026973555,2.0,0.0,1.0,SCHG_SMA8_MOM9_BIL
2020-05-01,0.09487321695938,0.08987321695938,2.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2020-06-01,0.006506222913485349,0.006506222913485349,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2020-07-01,0.06928222312462529,0.06928222312462529,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2020-08-01,0.08879530163411653,0.08879530163411653,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2020-09-01,-0.04920040969687911,-0.04920040969687911,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2020-10-01,-0.060290053036475055,-0.060290053036475055,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2020-11-01,0.07599256755046047,0.07599256755046047,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
2020-12-01,0.027211082573540546,0.027211082573540546,0.0,1.0,0.0,SCHG_SMA8_MOM9_BIL
