threshold_pct,hold_sessions,signal_date,entry_date,exit_date,us_leader,kr_target,leader_return_pct,sector_net_pct,benchmark_net_pct,sector_minus_benchmark_pct,sector_inverse_50_50_net_pct
1.0,3,2024-10-25,2024-10-28,2024-10-31,LIT,305720.KS,1.9356274677829743,1.4182718750282755,-1.4593555966108682,2.8776274716391437,1.336117919496115
1.0,3,2024-10-28,2024-10-29,2024-11-01,LIT,305720.KS,1.807365887217438,-2.335149629456935,-2.7596262303720263,0.4244766009150913,0.029803441217167936
1.0,3,2024-10-29,2024-10-31,2024-11-04,SOXX,091160.KS,2.4595273947690233,2.86788598176868,0.35991532497865375,2.507970656790026,1.0499251337414852
1.0,3,2024-11-01,2024-11-04,2024-11-07,SOXX,091160.KS,1.0629642059097222,-0.5050267957485763,0.34996397531952184,-0.8549907710680982,-0.6337564917969394
1.0,3,2024-11-05,2024-11-06,2024-11-08,LIT,305720.KS,2.586206518408285,-9.319612003598634,-1.01046240494005,-8.309149598658584,-4.372868711765722
1.0,3,2024-11-06,2024-11-07,2024-11-11,XLF,139220.KS,6.080079932139548,-2.8369740517666395,-1.548825162868773,-1.2881488888978665,-0.8036642130372482
1.0,3,2024-11-07,2024-11-08,2024-11-12,LIT,305720.KS,3.3743632191464368,-3.5594349085489316,-4.884814115110326,1.3253792065613945,0.5844183481946699
1.0,3,2024-11-08,2024-11-11,2024-11-13,ITA,309230.KS,3.7002761821385732,0.6866029278557386,-5.746673319266683,6.433276247122421,3.1048946282057113
1.0,3,2024-11-11,2024-11-12,2024-11-14,LIT,305720.KS,5.903558827114819,-6.269598427730773,-4.735688013566809,-1.5339104141639641,-0.7370788656608185
1.0,3,2024-11-13,2024-11-14,2024-11-18,LIT,305720.KS,1.1118500982288948,-5.621039616132229,2.271647190108194,-7.892686806240423,-4.01384616789875
1.0,3,2024-11-18,2024-11-19,2024-11-21,SOXX,091160.KS,1.2925464293902733,-0.28016099300916064,0.6290575635647269,-0.9092185565738875,-0.6719748401545276
1.0,3,2024-11-19,2024-11-20,2024-11-22,LIT,305720.KS,2.031134089358,4.348712213369587,1.1733987581443497,3.175313455225237,1.3734246291687338
1.0,3,2024-11-20,2024-11-21,2024-11-25,XLV,227550.KS,1.1826688356819437,1.2814749438001751,2.5309761357809704,-1.2495011919807952,-0.8011609238218373
1.0,3,2024-11-21,2024-11-22,2024-11-26,SOXX,091160.KS,1.584308447740046,2.4988371133067613,1.0699446771909251,1.4288924361158362,0.6038780161128401
1.0,3,2024-11-22,2024-11-25,2024-11-27,XLF,139220.KS,1.1162234311725028,-0.2099925961622127,-1.02736836692049,0.8173757707582774,0.28288431528143887
1.0,3,2024-11-25,2024-11-26,2024-11-28,LIT,305720.KS,1.1563224222515656,-1.5705392746960265,-0.9558381187470553,-0.6147011559489712,-0.45406462099031963
1.0,3,2024-11-26,2024-11-27,2024-11-29,ITA,309230.KS,1.1839353025340005,-1.2449781412161252,-2.849812710368916,1.604834569152791,0.6371397503526379
1.0,3,2024-11-27,2024-11-28,2024-12-02,LIT,305720.KS,1.638982478212414,-3.7004070364082384,-1.9380156012015934,-1.762391435206645,-1.0894026524032494
1.0,3,2024-11-29,2024-12-02,2024-12-04,SOXX,091160.KS,1.3360845839215596,-0.9541056672361279,-0.9078163109898294,-0.046289356246298485,-0.20651635293136383
1.0,3,2024-12-02,2024-12-03,2024-12-05,SOXX,091160.KS,2.6276743742396746,4.705887210607806,-1.3206007114893068,6.026487922097113,2.8355504429107383
1.0,3,2024-12-04,2024-12-05,2024-12-09,SOXX,091160.KS,1.3238602989108728,-3.3134423004912437,-3.949890460428774,0.6364481599375305,0.2084598934178552
1.0,3,2024-12-06,2024-12-09,2024-12-11,LIT,305720.KS,1.9381573478680858,2.4428242828339544,1.7504760776865016,0.6923482051474528,0.13093496299373864
1.0,3,2024-12-09,2024-12-10,2024-12-12,LIT,305720.KS,3.757360676059185,4.755350434294624,3.3390010274138673,1.416349406880757,0.5610569598859019
1.0,3,2024-12-11,2024-12-12,2024-12-16,SOXX,091160.KS,2.5144102775313426,2.474568169450974,0.6765782456975336,1.7979899237534402,0.6535606804701657
1.0,3,2024-12-13,2024-12-16,2024-12-18,SOXX,091160.KS,2.7895430364015317,2.401679211017104,-1.0047218838548986,3.4064010948720025,1.4212192150530258
1.0,3,2024-12-16,2024-12-17,2024-12-19,SOXX,091160.KS,1.8540088358682594,-1.624446306304784,-2.1065201922646613,0.4820738859598772,0.10209015156863366
1.0,3,2024-12-20,2024-12-23,2024-12-26,XLF,139220.KS,1.4853542390110608,-1.7280326346418193,0.08557990864532702,-1.8136125432871464,-1.1782213382414095
1.0,3,2024-12-23,2024-12-24,2024-12-27,SOXX,091160.KS,3.0257924821618154,-1.2026439984194623,-1.4390643297065084,0.2364203312870461,-0.12369488056566769
1.0,3,2024-12-24,2024-12-26,2024-12-30,LIT,305720.KS,1.3997640101863995,-2.920247172282576,-1.6851009794177094,-1.2351461928648666,-0.8243828454005462
1.0,3,2025-01-03,2025-01-06,2025-01-08,SOXX,091160.KS,2.605844911776045,5.777732526825651,2.6314397833548933,3.1462927434707577,1.400887540008571
1.0,3,2025-01-06,2025-01-07,2025-01-09,SOXX,091160.KS,2.8947783851144493,0.568388394780416,-0.09110829521887889,0.6594966899992949,0.23395870998604762
1.0,3,2025-01-13,2025-01-14,2025-01-16,LIT,305720.KS,1.9109881235490622,2.0288077121533012,0.9132562832823146,1.1155514288709867,0.4218632276909542
1.0,3,2025-01-14,2025-01-15,2025-01-17,LIT,305720.KS,1.579061660079284,-0.17158621773636454,0.4623520209185985,-0.633938238654963,-0.5165260078909837
1.0,3,2025-01-15,2025-01-16,2025-01-20,XLF,139220.KS,2.549229452400925,0.16174624602360763,-0.5211962512227228,0.6829424972463305,0.19493117339515106
1.0,3,2025-01-17,2025-01-20,2025-01-22,SOXX,091160.KS,2.7735549367739143,3.414274891539292,0.36600316027,3.048271731269292,1.3274121710443723
1.0,3,2025-01-21,2025-01-22,2025-01-24,ITA,309230.KS,3.2185802042257405,0.30839428289848225,-0.2670590973727913,0.5754533802712736,0.15920814254934879
1.0,3,2025-01-22,2025-01-23,2025-01-31,SOXX,091160.KS,1.445466256659378,-6.954149650121656,-1.534593457897738,-5.419556192223919,-2.8102997423706433
1.0,3,2025-01-23,2025-01-24,2025-02-03,ITA,309230.KS,1.8768351400465955,-0.9513889676616936,-3.7962515203581524,2.844862552696459,1.226534431831804
1.0,3,2025-01-27,2025-01-31,2025-02-04,XLV,227550.KS,2.2451709292359956,-2.507203663653291,-1.6169682571475228,-0.8902354065057683,-0.5985584007734421
1.0,3,2025-01-30,2025-01-31,2025-02-04,ITA,309230.KS,2.117442378409895,0.21682636152089338,-1.6169682571475228,1.8337946186684162,0.7634566118136501
1.0,3,2025-02-04,2025-02-05,2025-02-07,LIT,305720.KS,1.8167935723350626,-0.00035721189855045243,0.24058919877536408,-0.24094641067391454,-0.3757413765120463
1.0,3,2025-02-05,2025-02-06,2025-02-10,SOXX,091160.KS,1.9362234962108094,3.702504058601085,-0.29945530013162447,4.00195935873271,1.9100074878158226
1.0,3,2025-02-06,2025-02-07,2025-02-11,LIT,305720.KS,1.9073478150676726,-1.2834966478358032,0.07206887748423171,-1.355565525320035,-0.8561575142898912
1.0,3,2025-02-10,2025-02-11,2025-02-13,SOXX,091160.KS,1.3049310486228594,0.08352008293117572,1.304021263406673,-1.2205011804754973,-0.7743996959523556
1.0,3,2025-02-12,2025-02-13,2025-02-17,LIT,305720.KS,2.9061118243854045,5.689592354437844,1.793813416600475,3.8957789378373686,1.8567939697134042
1.0,3,2025-02-13,2025-02-14,2025-02-18,LIT,305720.KS,2.17234573066174,1.2819411480137424,1.6002171923673805,-0.3182760443536381,-0.29921873556996803
1.0,3,2025-02-18,2025-02-19,2025-02-21,SOXX,091160.KS,1.6541904037481903,-0.21000369631872887,0.6757121253358802,-0.885715821654609,-0.6645473027048163
1.0,3,2025-02-19,2025-02-20,2025-02-24,SOXX,091160.KS,1.6625418177728113,-4.865656271290143,-1.3231441063623404,-3.5425121649278024,-1.9041875826496755
1.0,3,2025-02-20,2025-02-21,2025-02-25,LIT,305720.KS,1.4204466892127066,0.31375954847820875,-1.4688547279283823,1.782614276406591,0.6252742696519533
1.0,3,2025-02-26,2025-02-27,2025-03-04,SOXX,091160.KS,1.7412885303884629,-8.071587610867827,-4.240183399513176,-3.8314042113546503,-1.919837085616145
1.0,3,2025-02-28,2025-03-04,2025-03-06,XLF,139220.KS,2.053591832390178,5.307247137112213,1.798320821324694,3.5089263157875195,1.46048428672803
1.0,3,2025-03-05,2025-03-06,2025-03-10,SOXX,091160.KS,2.1555515636243916,-3.205674224898559,0.06850784048237821,-3.2741820653809373,-1.8737663159891014
1.0,3,2025-03-07,2025-03-10,2025-03-12,SOXX,091160.KS,2.9337555457716658,4.055175349837236,1.0575057719040428,2.997669577933193,1.2625216683179554
1.0,3,2025-03-12,2025-03-13,2025-03-17,SOXX,091160.KS,2.0612244309683447,2.1673489336366583,1.2078166201594511,0.9595323134772071,0.36139051620104246
1.0,3,2025-03-14,2025-03-17,2025-03-19,SOXX,091160.KS,3.085592337376708,1.0887056267282027,2.0850344854068883,-0.9963288586786856,-0.6304670064557159
1.0,3,2025-03-17,2025-03-18,2025-03-20,LIT,305720.KS,1.8609206752591367,3.214653449156634,0.42467841875364254,2.7899750304029913,1.214308291398596
