month,SCHG,BIL,KRW=X
2014-11-01,5.976161479949951,73.51099395751953,1099.0999755859375
2014-12-01,5.950624465942383,73.49491882324219,1095.300048828125
2015-01-01,5.872493743896484,73.4788589477539,1098.800048828125
2015-02-01,6.257405757904053,73.4788589477539,1100.6700439453125
2015-03-01,6.204137802124023,73.4788589477539,1105.5
2015-04-01,6.192620277404785,73.46282958984375,1068.969970703125
2015-05-01,6.296274185180664,73.44667053222656,1107.0
2015-06-01,6.206284999847412,73.44667053222656,1118.219970703125
2015-07-01,6.388994216918945,73.44667053222656,1170.77001953125
2015-08-01,6.006232738494873,73.44667053222656,1177.5999755859375
2015-09-01,5.795288562774658,73.41458892822266,1194.1600341796875
2015-10-01,6.275329113006592,73.39849090576172,1139.8599853515625
2015-11-01,6.291561603546143,73.41458892822266,1154.8299560546875
2015-12-01,6.143692970275879,73.39849090576172,1175.43994140625
2016-01-01,5.711086750030518,73.41458892822266,1205.6300048828125
2016-02-01,5.718064785003662,73.41458892822266,1241.1300048828125
2016-03-01,6.096012115478516,73.41458892822266,1140.22998046875
2016-04-01,6.069264888763428,73.44667053222656,1134.0
2016-05-01,6.191372871398926,73.44667053222656,1198.449951171875
2016-06-01,6.119498252868652,73.4306640625,1152.1500244140625
2016-07-01,6.425065040588379,73.46282958984375,1123.3499755859375
2016-08-01,6.442559242248535,73.46282958984375,1118.3800048828125
2016-09-01,6.481542110443115,73.4788589477539,1101.6199951171875
2016-10-01,6.315649032592773,73.49491882324219,1146.699951171875
2016-11-01,6.490887641906738,73.46282958984375,1167.8599853515625
2016-12-01,6.5463738441467285,73.47886657714844,1205.2900390625
2017-01-01,6.777365684509277,73.51103973388672,1169.2099609375
2017-02-01,7.061125755310059,73.54798889160156,1133.93994140625
2017-03-01,7.107509613037109,73.53512573242188,1117.02001953125
2017-04-01,7.267334938049316,73.58984375,1129.93994140625
2017-05-01,7.436559677124023,73.60110473632812,1123.9000244140625
2017-06-01,7.448668956756592,73.67684936523438,1146.1400146484375
2017-07-01,7.647850036621094,73.70098876953125,1124.050048828125
2017-08-01,7.726813793182373,73.78486633300781,1123.3299560546875
2017-09-01,7.81235408782959,73.838134765625,1145.93994140625
2017-10-01,8.048840522766113,73.88983917236328,1123.449951171875
2017-11-01,8.294790267944336,73.93023681640625,1080.6600341796875
2017-12-01,8.382394790649414,73.98523712158203,1069.489990234375
2018-01-01,8.982236862182617,74.08235931396484,1072.5400390625
2018-02-01,8.729736328125,74.14393615722656,1079.3900146484375
2018-03-01,8.51792049407959,74.24044036865234,1062.0
2018-04-01,8.570185661315918,74.31753540039062,1067.5999755859375
2018-05-01,8.908717155456543,74.4289321899414,1075.030029296875
2018-06-01,9.02146053314209,74.53959655761719,1120.5400390625
2018-07-01,9.258362770080566,74.64314270019531,1116.6700439453125
2018-08-01,9.726222038269043,74.761474609375,1115.449951171875
2018-09-01,9.783595085144043,74.86609649658203,1112.31005859375
2018-10-01,8.954578399658203,74.99385070800781,1137.699951171875
2018-11-01,9.041656494140625,75.1332778930664,1117.02001953125
2018-12-01,8.268686294555664,75.27059173583984,1116.300048828125
2019-01-01,9.012426376342773,75.40228271484375,1109.0
2019-02-01,9.306321144104004,75.54164123535156,1115.0999755859375
