month,gross_return,net_return,us_turnover,kr_turnover,cost_return,weight_QUAL,weight_MTUM,weight_QQQ,weight_SPY,weight_IWM,weight_EFA,weight_EEM,weight_IEF,weight_TLT,weight_GLD,weight_DBC,weight_BIL,weight_275280.KS,weight_275300.KS,weight_153130.KS
2020-02-01,-0.03318932203168592,-0.03358047706931723,0.07328110256160844,0.1980497916450359,0.0003911550376313088,0.16,0.16,0.19421074533344915,0.04199136092931462,0.03146334735515945,0.043468619247782316,0.02976948896439952,0.07373842303533515,0.0294448324203718,0.03591318271418801,0.0,-5.551115123125783e-17,0.0,0.1,0.1
2020-03-01,-0.0459909998233568,-0.04671858128144601,0.28862224538882836,0.005738899635368375,0.0007275814580892077,0.16,0.16,0.21643124550392015,0.0,0.0,0.0,0.0,0.11199999999999999,0.05556963904074716,0.06882971821139715,0.0,0.027169397243935578,0.0,0.1,0.1
2020-04-01,0.06160616660261079,0.061087037909101895,0.1274394491961323,0.19098101954149393,0.0005191286935088994,0.16,0.16,0.16,0.0,0.0,0.0,0.0,0.11199999999999999,0.06823378405490503,0.0873067588133384,0.0,0.05245945713175659,0.0,0.0,0.2
2020-05-01,0.055896328533710064,0.0554766213572624,0.08864510399915254,0.1886613489997939,0.0004197071764476649,0.16,0.16,0.20300849304873442,0.0,0.0,0.0,0.0,0.11199999999999999,0.06105386560614247,0.07071997273729917,0.0,0.033217668607823936,0.0,0.1,0.1
2020-06-01,0.005302355283560469,0.004876786705061016,0.0878294269846166,0.196185724798011,0.00042556857849945307,0.16,0.16,0.20071866114258025,0.03746597542633289,0.0,0.0,0.0,0.11199999999999999,0.05257500907843457,0.0607479496930511,0.0,0.016492404659601223,0.1,0.1,0.0
2020-07-01,0.05522701044787001,0.055149549456765416,0.02690646188499407,0.009709367992488824,7.746099110459844e-05,0.16,0.16,0.20043146176341678,0.03812554380227264,0.0,0.0,0.0,0.11199999999999999,0.05127846232214377,0.06596089478035856,0.0,0.012203637331808292,0.1,0.1,0.0
2020-08-01,0.0473166776735122,0.047126502754216266,0.07446944194476945,0.0038107756514341867,0.0001901749192959295,0.16,0.16,0.19689300479365576,0.03474532708564723,0.0,0.0,0.03133638067497717,0.11199999999999999,0.0478922056370778,0.051427933164037175,0.0,0.005705148644604918,0.1,0.1,0.0
2020-09-01,-0.03663184017251261,-0.03689133309942826,0.10283273043161027,0.0022962865110783687,0.000259492926915658,0.16,0.16,0.1887219659130482,0.027276928440371634,0.020313624915298496,0.02995459704496739,0.02558751119623732,0.10247062284628689,0.04221969082256686,0.043455058821223205,0.0,0.0,0.1,0.1,0.0
2020-10-01,-0.053066118325736315,-0.05309726478302075,0.010657654448910522,0.0042879249163414596,3.114645728443484e-05,0.16,0.16,0.18604081824630916,0.026246466680589116,0.01997089226269534,0.02973928445599644,0.025241136038045387,0.10725977507226989,0.043467856105241474,0.04203377113885315,0.0,5.551115123125783e-17,0.1,0.1,0.0
2020-11-01,0.05902658085413409,0.05854740467252276,0.19001534269046486,0.00394078560492872,0.0004791761816113373,0.16,0.16,0.19680257142298563,0.03797030468912926,0.0,0.0,0.03730984448334367,0.11199999999999999,0.0,0.060639512417347996,0.0,0.03527776698719348,0.1,0.1,0.0
