actual_net_pct,close_reason,closed_at,entry_price,exit_price,fee_pct_round_trip,filled_at,market,net_alignment_residual_pct,pnl_pct_net,prefill_below_vwap10,prefill_down_count3,prefill_fall_0p3,prefill_fall_0p5,prefill_fall_0p7,prefill_fall_1p0,prefill_ret_5m_pct,probe_confirmed_w15_t0p3,probe_confirmed_w15_t0p5,probe_confirmed_w15_t0p7,probe_confirmed_w15_t1p0,probe_confirmed_w30_t0p3,probe_confirmed_w30_t0p5,probe_confirmed_w30_t0p7,probe_confirmed_w30_t1p0,probe_confirmed_w60_t0p3,probe_confirmed_w60_t0p5,probe_confirmed_w60_t0p7,probe_confirmed_w60_t1p0,probe_exposure_w15_t0p3,probe_exposure_w15_t0p5,probe_exposure_w15_t0p7,probe_exposure_w15_t1p0,probe_exposure_w30_t0p3,probe_exposure_w30_t0p5,probe_exposure_w30_t0p7,probe_exposure_w30_t1p0,probe_exposure_w60_t0p3,probe_exposure_w60_t0p5,probe_exposure_w60_t0p7,probe_exposure_w60_t1p0,probe_net_w15_t0p3_pct,probe_net_w15_t0p5_pct,probe_net_w15_t0p7_pct,probe_net_w15_t1p0_pct,probe_net_w30_t0p3_pct,probe_net_w30_t0p5_pct,probe_net_w30_t0p7_pct,probe_net_w30_t1p0_pct,probe_net_w60_t0p3_pct,probe_net_w60_t0p5_pct,probe_net_w60_t0p7_pct,probe_net_w60_t1p0_pct,qty,session_date,ticker,v2_decision_id
-0.5563,CLOSED_WEAK_MFE,2026-06-15T17:44:14+00:00,212.4295,212.31,0.5,2026-06-15T17:03:58+00:00,US,-4.604280479303391e-05,-0.5563,1,1,0,0,0,0,-0.002351377990195136,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.18543333333333334,-0.18543333333333334,-0.18543333333333334,-0.18543333333333334,-0.18543333333333334,-0.18543333333333334,-0.18543333333333334,-0.18543333333333334,-0.18543333333333334,-0.18543333333333334,-0.18543333333333334,-0.18543333333333334,1.0,2026-06-15,NVDA,dec_20260615_US_NVDA_d33cd7ac
-0.6935,CLOSED_WEAK_MFE,2026-06-15T17:46:25+00:00,62.0,61.88000000000001,0.5,2026-06-15T17:12:14+00:00,US,4.838709675358821e-05,-0.6935,1,1,0,0,0,0,-0.06437224963026233,1,0,0,0,1,0,0,0,1,0,0,0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.8967812259408731,-0.23116666666666666,-0.23116666666666666,-0.23116666666666666,-0.8967812259408731,-0.23116666666666666,-0.23116666666666666,-0.23116666666666666,-0.8967812259408731,-0.23116666666666666,-0.23116666666666666,-0.23116666666666666,5.0,2026-06-15,IREN,dec_20260615_US_IREN_71532a6e
-0.8946,CLOSED_WEAK_MFE,2026-06-15T18:18:34+00:00,296.5,295.33,0.5,2026-06-15T17:46:20+00:00,US,3.709949414898439e-06,-0.8946,1,3,0,0,0,0,-0.1515804458860348,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.29819999999999997,-0.29819999999999997,-0.29819999999999997,-0.29819999999999997,-0.29819999999999997,-0.29819999999999997,-0.29819999999999997,-0.29819999999999997,-0.29819999999999997,-0.29819999999999997,-0.29819999999999997,-0.29819999999999997,1.0,2026-06-15,AAPL,dec_20260615_US_AAPL_06912d4c
-2.4763,CLOSED_LOSS_CAP,2026-06-16T00:56:46+00:00,14120.0,13800.0,0.21,2026-06-16T00:40:25+00:00,KR,-1.1048158644832995e-05,-2.4763,1,0,0,0,0,0,-0.1413427561837488,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.8254333333333334,-0.8254333333333334,-0.8254333333333334,-0.8254333333333334,-0.8254333333333334,-0.8254333333333334,-0.8254333333333334,-0.8254333333333334,-0.8254333333333334,-0.8254333333333334,-0.8254333333333334,-0.8254333333333334,17.0,2026-06-16,457370,dec_20260616_KR_457370_d68891fb
-2.4608,CLOSED_LOSS_CAP,2026-06-16T13:55:16+00:00,26.01,25.5,0.5,2026-06-16T13:46:01+00:00,US,-1.5686274505544162e-05,-2.4608,0,1,0,0,0,0,0.7553218221976854,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.8202666666666666,-0.8202666666666666,-0.8202666666666666,-0.8202666666666666,-0.8202666666666666,-0.8202666666666666,-0.8202666666666666,-0.8202666666666666,-0.8202666666666666,-0.8202666666666666,-0.8202666666666666,-0.8202666666666666,6.0,2026-06-16,QBTS,dec_20260616_US_QBTS_343a9bf8
-0.7905,CLOSED_CLAUDE_PRICE_STOP,2026-06-16T14:10:20+00:00,13.77,13.729999999999999,0.5,2026-06-16T13:47:09+00:00,US,-1.3435003627160214e-05,-0.7905,0,0,0,0,0,0,1.5317289391879152,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.1505934146481254,-1.1505934146481254,-1.3410517550212484,-2.4840803706877717,-1.1505934146481254,-1.1505934146481254,-1.3410517550212484,-2.4840803706877717,-1.1505934146481254,-1.1505934146481254,-1.3410517550212484,-2.4840803706877717,12.0,2026-06-16,POET,dec_20260616_US_POET_b777b13b
-0.4373,CLOSED_PROFIT_LADDER,2026-06-16T15:15:54+00:00,15.945,15.955000000000002,0.5,2026-06-16T13:58:45+00:00,US,-1.5584822847802826e-05,-0.4373,0,1,0,0,0,0,0.1884997363688301,1,1,0,0,1,1,1,1,1,1,1,1,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.6458286803696389,-0.8943509308347015,-0.14576666666666666,-0.14576666666666666,-0.6458286803696389,-0.8943509308347015,-1.07952603391552,-1.1410186467466983,-0.6458286803696389,-0.8943509308347015,-1.07952603391552,-1.1410186467466983,10.0,2026-06-16,AAL,dec_20260616_US_AAL_2b63c760
-1.0175,CLOSED_HARD_STOP,2026-06-16T14:57:34+00:00,17.39,17.3,0.5,2026-06-16T14:18:39+00:00,US,3.881541115591247e-05,-1.0175,1,3,1,1,1,1,-1.0814952478766293,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.33916666666666667,-0.33916666666666667,-0.33916666666666667,-0.33916666666666667,-0.33916666666666667,-0.33916666666666667,-0.33916666666666667,-0.33916666666666667,-0.33916666666666667,-0.33916666666666667,-0.33916666666666667,-0.33916666666666667,19.0,2026-06-16,SOFI,dec_20260616_US_SOFI_6cd198cd
-1.3397,CLOSED_CLAUDE_PRICE_PRE_CLOSE,2026-06-16T18:02:10+00:00,408.5,405.07,0.5,2026-06-16T15:12:18+00:00,US,-4.271725826510142e-05,-1.3397,1,3,1,1,1,0,-0.7614427842980831,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.4465666666666666,-0.4465666666666666,-0.4465666666666666,-0.4465666666666666,-0.4465666666666666,-0.4465666666666666,-0.4465666666666666,-0.4465666666666666,-0.4465666666666666,-0.4465666666666666,-0.4465666666666666,-0.4465666666666666,1.0,2026-06-16,TSLA,dec_20260616_US_TSLA_36974c95
-0.3325,CLOSED_CLAUDE_INTRADAY_SELL,2026-06-16T17:59:30+00:00,86.56,86.705,0.5,2026-06-16T15:33:04+00:00,US,-1.3863216250964427e-05,-0.3325,1,2,1,0,0,0,-0.362592738309353,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.11083333333333334,-0.11083333333333334,-0.11083333333333334,-0.11083333333333334,-0.11083333333333334,-0.11083333333333334,-0.11083333333333334,-0.11083333333333334,-0.11083333333333334,-0.11083333333333334,-0.11083333333333334,-0.11083333333333334,3.0,2026-06-16,HLNE,dec_20260616_US_HLNE_b528201d
