strategy,market,asset,signal_date,entry_date,exit_date,signal_value,gross_pct,net_pct
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-07-13,2010-07-14,2010-07-14,1.2961300814535281,0.47867711053088957,0.2686771105308896
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-07-20,2010-07-21,2010-07-21,1.207486602954,0.17497812773403787,-0.03502187226596212
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-07-22,2010-07-23,2010-07-23,2.531325511187177,0.10869565217390686,-0.10130434782609313
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-08-02,2010-08-03,2010-08-03,1.8772827125279168,-0.12782275244994645,-0.3378227524499464
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-08-04,2010-08-05,2010-08-05,1.0114567700333366,-0.5112910097997525,-0.7212910097997525
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-08-17,2010-08-18,2010-08-18,1.272283604726021,-0.1520417028670784,-0.3620417028670784
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-08-27,2010-08-30,2010-08-30,1.2172842599830869,0.6334643949322816,0.4234643949322816
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-09-01,2010-09-02,2010-09-02,2.9912440606644664,-0.5145797598627766,-0.7245797598627766
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-09-02,2010-09-03,2010-09-03,1.1170432954904719,-0.10752688172043223,-0.3175268817204322
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-09-03,2010-09-06,2010-09-06,1.6571661674982918,0.06411626415898652,-0.14588373584101347
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-09-03,2010-09-07,2010-09-07,1.6571661674982918,-0.3205128205128194,-0.5305128205128193
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-09-08,2010-09-09,2010-09-09,1.203474218794165,0.04292766688129834,-0.16707233311870165
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-09-13,2010-09-14,2010-09-14,1.394848787406433,-0.31525851197981014,-0.5252585119798101
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-09-24,2010-09-27,2010-09-27,2.0341186266751077,0.47678275290217176,0.2667827529021718
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-10-05,2010-10-06,2010-10-06,2.4339656709064794,0.6684221186955552,0.45842211869555527
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-10-15,2010-10-18,2010-10-18,2.1221670962610517,-1.3731825525040486,-1.5831825525040486
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-11-02,2010-11-03,2010-11-03,1.0723493938010975,0.48067294211897593,0.27067294211897597
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-11-04,2010-11-05,2010-11-05,1.2259044777511274,-0.5522682445759375,-0.7622682445759374
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-11-18,2010-11-19,2010-11-19,1.60856390575701,0.4550850811238627,0.2450850811238627
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-11-24,2010-11-25,2010-11-25,2.016507267543055,-0.059101654846327456,-0.2691016548463274
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-11-24,2010-11-26,2010-11-26,2.016507267543055,-1.512770137524544,-1.7227701375245439
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-12-01,2010-12-02,2010-12-02,2.111756075255622,0.8043947420051101,0.5943947420051101
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2010-12-02,2010-12-03,2010-12-03,1.0152647345231136,0.07756447547022649,-0.1324355245297735
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-01-03,2011-01-04,2011-01-04,1.5608008812194152,0.3775620280474623,0.1675620280474623
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-01-24,2011-01-25,2011-01-25,1.3829504796498249,-0.01787310098303463,-0.22787310098303462
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-02-25,2011-02-28,2011-02-28,1.3893795648195262,-1.0984848484848375,-1.3084848484848375
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-03-03,2011-03-04,2011-03-04,1.977575524907027,1.2926189584113956,1.0826189584113957
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-03-21,2011-03-22,2011-03-22,1.9283386236719657,0.11092623405435376,-0.09907376594564624
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-03-24,2011-03-25,2011-03-25,1.7770319007759605,0.23529411764704466,0.025294117647044673
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-04-20,2011-04-21,2011-04-21,2.2615222721960926,1.1235955056179803,0.9135955056179803
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-05-31,2011-06-01,2011-06-01,1.6193731412838863,-0.2797202797202858,-0.48972027972028576
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-06-14,2011-06-15,2011-06-15,1.281144976566062,0.018057060310572304,-0.1919429396894277
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-06-21,2011-06-22,2011-06-22,2.145361157658132,0.14668133480015833,-0.06331866519984167
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-06-27,2011-06-28,2011-06-28,1.5998703509406464,-0.9449391241141192,-1.1549391241141191
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-06-28,2011-06-29,2011-06-29,1.4841526368771785,0.18106101756292237,-0.028938982437077626
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-06-30,2011-07-01,2011-07-01,1.3321329008381788,0.12482168330956167,-0.08517831669043832
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-07-01,2011-07-04,2011-07-04,1.5074764748490788,0.2821869488536244,0.0721869488536244
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-07-01,2011-07-05,2011-07-05,1.5074764748490788,0.5978547564621017,0.38785475646210177
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-07-07,2011-07-08,2011-07-08,1.37009269683106,-0.4663212435233155,-0.6763212435233155
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-07-15,2011-07-18,2011-07-18,1.3312280187606662,-1.345609065155795,-1.555609065155795
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-07-19,2011-07-20,2011-07-20,2.2766362485613367,0.4784688995215447,0.26846889952154473
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-07-22,2011-07-25,2011-07-25,1.0340823353140127,-0.1237186284906322,-0.33371862849063216
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-08-09,2011-08-10,2011-08-10,4.823103504171233,-4.3620057072972,-4.5720057072972
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-08-11,2011-08-12,2011-08-12,4.404245699789122,-2.7049695953030084,-2.9149695953030084
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-08-15,2011-08-16,2011-08-16,1.4747273799595284,1.845637583892601,1.635637583892601
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-08-23,2011-08-24,2011-08-24,4.122686288537358,-2.2452504317789224,-2.4552504317789223
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-08-26,2011-08-29,2011-08-29,2.508182024335137,1.2195121951219745,1.0095121951219745
KR200_CONT_AFTER_QQQ_UP1,KR,069500.KS,2011-08-29,2011-08-30,2011-08-30,2.785631389507204,-0.06270903010033857,-0.27270903010033853
